Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
Thiamine pyrophosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.25154734	-0.380171272	-0.004888436	0.107616179	0.000488044	0.013513549	Thiamine pyrophosphate	20C_2	2	C00068	HMDB01372	CC1=C(CCO[P@](O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
L-Threonine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.061300357	0.263907285	-0.025995524	0.083213976	0.000494305	0.013634938	L-Threonine	T_7	3	C00188	HMDB00167	C[C@@H](O)[C@H](N)C(O)=O
Biotin	PYK	Pyruvate kinase PKLR	PKLR	P30613		-1.378157273	-0.299445712	0.019851403	0.091674776	0.000495952	0.013673876	Biotin	B_4	1	C00120	HMDB00030	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
Adenosine monophosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		1.19656551	0.790081405	-0.064392101	0.245523494	0.000501019	0.013767845	Adenosine monophosphate	A_7	3	C00020	HMDB00045	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
N-Acetyl-D-galactosamine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.185072847	0.360644501	-0.029633615	0.112212974	0.000505147	0.013855038	N-Acetylgalactosamine	4C_6	2	C01132	HMDB00212	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
N-Acetyl-D-glucosamine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.185072847	0.360644501	-0.029633615	0.112212974	0.000505147	0.013855038	N-Acetyl-D-glucosamine	20C_11	2	C00140	HMDB00215	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
Deoxyadenosine diphosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		0.620082569	0.690135907	-0.061613014	0.216423387	0.000513697	0.014049761	dADP	20C_74	2	 C00206	HMDB01508	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
PIP3	GCK	Hexokinase-4	GCK	P35557		-0.352572859	1.21116003	-0.025389548	0.356030685	0.000514379	0.014061794	"Phosphatidylinositol-3,4,5-trisphosphate"	Cay_9	4	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
D-Glyceraldehyde 3-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.072614824	-0.511377706	0.016041581	0.151934391	0.000517825	0.014131141	D-Glyceraldehyde 3-phosphate	20C_4	3	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.072614824	-0.511377706	0.016041581	0.151934391	0.000517825	0.014131141	Dihydroxyacetone phosphate	20C_60	3	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
Thymine	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.726070894	0.283753168	0.001833552	0.081302358	0.000525235	0.014291314	Thymine	T_4	2	C00178	HMDB00262	CC1=CNC(=O)NC1=O
dUTP	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-7.722710143	2.301431826	0.16499885	0.61619831	0.000526069	0.014307293	Deoxyuridine triphosphate	20C_81	4	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
"2,5-Dihydroxybenzoic acid"	GCK	Hexokinase-4	GCK	P35557		-0.202967408	-0.38269919	0.042444524	0.122820306	0.000537154	0.01454071	Gentisic acid	D_9	4	C00628	HMDB00152	OC(=O)C1=CC(O)=CC=C1O
3-Furoic acid	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.079747617	0.724929667	-0.04854513	0.223465632	0.000537634	0.014546922	3-Furoic acid	CNC_148	4		HMDB00444	OC(=O)C1=COC=C1
"2,3-Diphospho-D-glyceric acid"	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.096834956	0.505452133	0.027534283	0.13812007	0.00053985	0.014586497	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
"3,4-Dihydroxyphenylacetic acid"	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.749797734	-0.692345879	0.006389791	0.201967085	0.000540876	0.014605005	"3,4-Dihydroxybenzeneacetic acid"	D_10	4	C01161	HMDB01336	OC(=O)CC1=CC=C(O)C(O)=C1
Isobutyrylglycine	GCK	Hexokinase-4	GCK	P35557		0.066377778	0.269385466	-0.035124953	0.088216704	0.000556767	0.014960082	Isobutyrylglycine	CNC_173	3		HMDB00730	CC(C)C(=O)NCC(O)=O
D-Sedoheptulose 7-phosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.481822704	0.459187489	-0.045031132	0.146182904	0.000562185	0.015090089	D-Sedoheptulose 7-phosphate	20C_63	4	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
L-Cysteic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.029103776	0.259435769	-0.019999606	0.081046094	0.000565052	0.015133709	Cysteic acid	C_10	3	C00506	HMDB02757	NC(CS(O)(=O)=O)C(O)=O
D-Glutamine	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.081431473	-0.259125145	-0.012957737	0.071394942	0.000564823	0.015133709	D-Glutamine	G_22	1	C00819	HMDB03423	N[C@H](CCC(N)=O)C(O)=O
DL-3-Ureidoisobutyric acid	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.081431473	-0.259125145	-0.012957737	0.071394942	0.000564823	0.015133709	Ureidoisobutyric acid	CNC_202	1	C05100	HMDB02031	CC(CNC(N)=O)C(O)=O
L-Glutamine	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.081431473	-0.259125145	-0.012957737	0.071394942	0.000564823	0.015133709	L-Glutamine	G_14	1	C00064	HMDB00641	N[C@@H](CCC(N)=O)C(O)=O
Betaine aldehyde hydrate	ENO2	Gamma-enolase	ENO2	P09104		-1.804450385	-0.611636673	-0.027158055	0.169591593	0.000568132	0.015202167	Betaine aldehyde	4C_42_R_hydrate	1	C07345		C[N+](C)(C)CC(O)O
Betaine aldehyde hydrate	ENO1	Alpha-enolase	ENO1	P06733		-1.811664202	-0.611183815	-0.027158055	0.169591593	0.000573772	0.015324858	Betaine aldehyde	4C_42_R_hydrate	1	C07345		C[N+](C)(C)CC(O)O
O-Acetyl-L-carnitine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.542359355	-0.45948503	0.027051684	0.141375337	0.000578597	0.015425357	L-Acetylcarnitine	CNC_45	1	C02571	HMDB00201	CC(=O)OC(CC([O-])=O)C[N+](C)(C)C
Uridine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.646185056	-0.671142677	0.033849347	0.205335871	0.000596149	0.01584241	Uridine	U_5	2	C00299	HMDB00296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
L-Threonine	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-0.489791919	-0.311498995	-0.025995524	0.083213976	0.000601459	0.015968892	L-Threonine	T_7	3	C00188	HMDB00167	C[C@@H](O)[C@H](N)C(O)=O
Uridine 5-diphosphate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.133435745	0.614995425	0.032147738	0.170087104	0.000610829	0.016202857	Uridine 5'-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Flavin adenine dinucleotide	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.563179055	0.413088708	-0.083880593	0.145035848	0.000611352	0.016209342	FAD	CNC_11	2	C00016	HMDB01248	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
PIP2	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-3.613403871	-0.913277308	0.006095087	0.26890586	0.000628661	0.016622749	PIP2	Cay_8	4	C04637		CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O
Hippuric acid	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.036595189	-0.511209145	0.043351772	0.162217169	0.000629366	0.016633823	Hippuric acid	CNC_132	1	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
AICAR	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		0.380221869	0.399520612	-0.060980806	0.134865727	0.00063895	0.016864108	AICAR	CNC_180	4	C04677	HMDB01517	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Nicotinamide adenine dinucleotide	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	0.49919184	0.659152748	0.002021432	0.192595868	0.000644952	0.016983937	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Nicotinamide	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.422336422	-0.471826103	0.016042593	0.143261161	0.000660551	0.017347539	Niacinamide	N_1	1	C00153	HMDB01406	NC(=O)C1=CN=CC=C1
D-Lactaldehyde	GCK	Hexokinase-4	GCK	P35557		0.024502737	0.306105975	-0.035091911	0.100252404	0.000665556	0.017447406	D-Lactaldehyde	20C_14	3	C00937	HMDB06458	C[C@@H](O)C=O
Beta-alanine	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.56712375	-0.258228967	0.002638218	0.076762217	0.000677862	0.017737996	Beta-Alanine	A_4	1	C00099	HMDB00056	NCCC(O)=O
L-Alanine	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.56712375	-0.258228967	0.002638218	0.076762217	0.000677862	0.017737996	L-Alanine	A_9	1	C00041	HMDB00161	C[C@H](N)C(O)=O
dUTP	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-7.227009787	-1.92836246	0.16499885	0.61619831	0.000680742	0.017798107	Deoxyuridine triphosphate	20C_81	4	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
3-methyl-2-oxobutyrate	DHTKD1r	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	DHTKD1	Q96HY7		-0.318182435	-0.25173639	-0.020140307	0.068199353	0.00068411	0.017853252	Alpha-ketoisovaleric acid	M_9	3	C00141	HMDB00019	CC(C)C(=O)C(O)=O
Cytidine monophosphate	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-0.32841003	0.694075069	0.106293805	0.173215687	0.000690436	0.018002167	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
L-Gulonic acid gamma-lactone	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.1921671	0.513604017	-0.024297364	0.158594322	0.000694652	0.018103962	L-Gulonolactone	4C_7	4	C01040	HMDB03466	[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)CO
Tyramine	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		0.140794047	0.385448839	-0.027966435	0.121901873	0.000695422	0.018115907	Tyramine	T_9	1	C00483	HMDB00306	NCCC1=CC=C(O)C=C1
2-Deoxyuridine 5-monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.560268585	-0.616764301	-0.037792214	0.170843757	0.000701741	0.018272311	dUMP	CNC_87	4	C00365	HMDB01409	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Propionyl coenzyme A	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-2.296133006	-1.719322564	0.274177225	0.58860389	0.000707059	0.018392324	Propionyl-CoA	CNC_55	4	C00100	HMDB01275	CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Inosine 5-triphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-5.916541742	1.433820274	0.078109986	0.400430029	0.000710135	0.018441297	Inosine triphosphate	CNC_91	4	C00081	HMDB00189	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
Propionyl coenzyme A	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		-2.188959028	-1.717893886	0.274177225	0.58860389	0.00071334	0.018507959	Propionyl-CoA	CNC_55	4	C00100	HMDB01275	CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
D-Sedoheptulose 7-phosphate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.255923679	0.449504136	-0.045031132	0.146182904	0.000717013	0.01858972	D-Sedoheptulose 7-phosphate	20C_63	4	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
D-Saccharic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.106545563	-0.595667379	-0.036946401	0.165490258	0.000735061	0.019020575	Glucaric acid	S_5	4	C00818	HMDB00663	O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O
D-Glucosamine	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-1.155515782	-0.217632922	-0.014312131	0.060235949	0.000737068	0.019064014	Glucosamine	G_11	1	C00329	HMDB01514	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
Benzoate	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		0.267088245	0.293515978	-0.007196297	0.089177801	0.000746101	0.019190815	Benzoic acid	B_2	3	C00180	HMDB01870	OC(=O)C1=CC=CC=C1
Xanthosine 5-monophosphate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.093242075	0.349431254	-0.017842855	0.109040675	0.000756524	0.019403078	Xanthylic acid	CNC_143	3	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
Norepinephrine	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-1.233409775	-0.321614587	0.069566429	0.116180322	0.000759862	0.019445784	Norepinephrine	CNC_95	1	C00547	HMDB00216	NC[C@H](O)C1=CC(O)=C(O)C=C1
Pyridoxine	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-1.233409775	-0.321614587	0.069566429	0.116180322	0.000759862	0.019445784	Pyridoxine	P_11	1	C00314	HMDB00239	CC1=NC=C(CO)C(CO)=C1O
CDP-Glycerol	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.010305393	0.364438499	0.000751803	0.108282472	0.000783143	0.019997522	CDP-glycerol	CNC_135	3	C00513	HMDB59599	OCC(O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O
Thymine	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		-1.225445437	-0.271132187	0.001833552	0.081302358	0.00078675	0.020078834	Thymine	T_4	2	C00178	HMDB00262	CC1=CNC(=O)NC1=O
Uracil	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.865336005	-0.272994446	0.024048453	0.088500236	0.00078962	0.020118684	Uracil	U_4	2	C00106	HMDB00300	O=C1NC=CC(=O)N1
L-Glutamic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-1.255831683	-0.289069038	-0.038875413	0.074576642	0.000794074	0.020205571	L-Glutamic acid	G_12	1	C00025	HMDB00148	N[C@@H](CCC(O)=O)C(O)=O
2-Deoxycytidine 5-diphosphate	GCK	Hexokinase-4	GCK	P35557		0.229436938	0.426336491	-0.019837518	0.133070389	0.000799646	0.020322833	dCDP	CNC_53	4	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
3-Methylglutaric acid	GCK	Hexokinase-4	GCK	P35557		-0.011273601	0.280917325	-0.031381731	0.093146672	0.000800081	0.020322833	Methylglutaric acid	CNC_6	3		HMDB00752	CC(CC(O)=O)CC(O)=O
2-Methylglutaric acid	GCK	Hexokinase-4	GCK	P35557		-0.011273601	0.280917325	-0.031381731	0.093146672	0.000800081	0.020322833	2-Methylglutaric acid	CNC_122	3		HMDB00422	CC(CCC(O)=O)C(O)=O
"D-Erythrono-1,4-lactone"	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.061242478	0.673754503	0.069187888	0.180584983	0.000814489	0.020634674	"Erythrono-1,4-lactone"	CNC_126	2		HMDB00349	O[C@@H]1COC(=O)[C@@H]1O
L-Phenylalanine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.170347486	0.237226363	-0.017145302	0.076001614	0.000817135	0.020683652	L-Phenylalanine	P_6	3	C00079	HMDB00159	N[C@@H](CC1=CC=CC=C1)C(O)=O
Folinic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.729236321	-0.56957134	-0.034236493	0.160053056	0.000823616	0.020838636	N5-Formyl-THF	CNC_52	4	C03479	HMDB01562	NC1=NC2=C(N(C=O)C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)CN2)C(=O)N1
PIP2	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.517197933	0.905175693	0.006095087	0.26890586	0.000827355	0.02091216	PIP2	Cay_8	4	C04637		CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O
Isovaleryl coenzyme A	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-0.482119127	1.204041092	0.155156063	0.313894405	0.000833204	0.021035424	Isovaleryl-CoA	20C_46	2	C02939	HMDB01113	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Nicotinic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.272188758	-0.382665843	0.023238401	0.121595358	0.000843365	0.021245766	Nicotinic acid	N_2	1	C00253	HMDB01488	OC(=O)C1=CN=CC=C1
4-Methyl-2-oxovaleric acid	GCK	Hexokinase-4	GCK	P35557		0.103175304	0.242386676	-0.017028367	0.077748803	0.000848162	0.021348116	Ketoleucine	4C_37	3	C00233	HMDB00695	CC(C)CC(=O)C(O)=O
3-Methyl-2-oxovaleric acid	GCK	Hexokinase-4	GCK	P35557		0.103175304	0.242386676	-0.017028367	0.077748803	0.000848162	0.021348116	3-Methyl-2-oxovaleric acid	CNC_37	3	C03465	HMDB00491	CCC(C)C(=O)C(O)=O
cis-Aconitic acid	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.819966475	-0.043724915	0.258929839	0.000851096	0.021368268	cis-Aconitic acid	20C_8	4	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O
Dehydroascorbic acid	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.819966475	-0.043724915	0.258929839	0.000851096	0.021368268	Dehydroascorbic acid	D_3	4	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO
Thymine	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-0.622148041	0.273025307	0.001833552	0.081302358	0.00085117	0.021368268	Thymine	T_4	2	C00178	HMDB00262	CC1=CNC(=O)NC1=O
Guanosine 5-monophosphate	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-0.158921147	0.978720073	0.249754336	0.218883414	0.000867264	0.021697289	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Inosine 5-triphosphate	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		-2.435083962	-1.252758626	0.078109986	0.400430029	0.000888641	0.022165268	Inosine triphosphate	CNC_91	4	C00081	HMDB00189	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
4-Pyridoxic acid	GCK	Hexokinase-4	GCK	P35557		-0.331319004	-0.382074004	0.021997055	0.121645702	0.000894694	0.022278004	4-Pyridoxic acid	CNC_187	4	C00847	HMDB00017	CC1=NC=C(CO)C(C(O)=O)=C1O
4-Imidazoleacrylic acid	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.5307005	-0.286588803	0.030842168	0.095624298	0.000901582	0.022430269	Urocanic acid	I_6	1	C00785	HMDB00301	OC(=O)\C=C\C1=CNC=N1
Glycolic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.009639485	0.412900589	-0.027671589	0.132740449	0.000903243	0.022461977	Glycolic acid	G_15	3	C00160	HMDB00115	OCC(O)=O
D-Xylose	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.0732735	0.429034986	0.019836007	0.123402399	0.000913248	0.022642931	D-Xylose	X_1	1	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.0732735	0.429034986	0.019836007	0.123402399	0.000913248	0.022642931	L-Arabinose	A_1	1	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.0732735	0.429034986	0.019836007	0.123402399	0.000913248	0.022642931	L-Ribulose	CNC_159	1	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
"Adenosine 3,5-diphosphate"	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	0.22050012	0.383891688	-0.031784661	0.125332365	0.000911225	0.022642931	"Adenosine 3',5'-diphosphate"	CNC_92	4	C00054	HMDB00061	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Anthranilate	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.59151094	-0.2995978	0.015747954	0.095142434	0.000918204	0.022746411	2-Aminobenzoic acid	A_17	1	C00108	HMDB01123	NC1=CC=CC=C1C(O)=O
DL-4-Hydroxy-3-methoxymandelic acid	GCK	Hexokinase-4	GCK	P35557		0.041899664	0.229326614	-0.029426804	0.078076084	0.000919324	0.022764445	Vanillylmandelic acid	4C_23	3	C05584	HMDB00291	COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O
Deoxycytidine triphosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-2.921757073	0.754203945	0.058657069	0.210260731	0.000939578	0.023157395	dCTP	CNC_99	4	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
